customer,customer.n.1
hobby,hobby.n.1
score,score.n.1
merchant,merchant.n.1
interface,interface.n.2
commodity,commodity.n.1
administrator,administrator.n.1
system,system.n.1
order,order.n.7
passenger,passenger.n.1
flight,flight.n.2
schedule,schedule.n.2
airport,airport.n.1
doctor,doctor.n.1
department,department.n.1
patient,patient.n.1
room,room.n.1
bill,bill.n.2
receptionist,receptionist.n.1
librarian,librarian.n.1
book,book.n.1
reference,reference.n.2
general,general.n.3
user,user.n.1
student,student.n.1
faculty,faculty.n.2
publisher,publisher.n.1
product,product.n.1
account,account.n.7
web,web.n.5
payment,payment.n.1
ticket,ticket.n.1
reservation,reservation.n.4
function,function.n.7
agent,agent.n.4
refund,refund.n.1
booking,booking.n.2
counter,counter.n.1
person,person.n.1
address,address.n.2
professor,professor.n.1
seminar,seminar.n.2
enrollment,enrollment.n.2
course,course.n.1
seller,seller.n.1
credit_card,credit_card.n.1
company,company.n.1
cart,cart.n.2
team,team.n.1
member,member.n.1
leader,leader.n.1
task,task.n.1
project,project.n.1
client,client.n.2
corporation,corporation.n.1
individual,individual.n.1
inventory,inventory.n.2
information,information.n.4
employee,employee.n.1
