word,wn
racket,racket.n.4
ball,ball.n.1
block,block.n.1
player,player.n.1
beam,beam.n.4
alien,alien.n.3
shot,shot.n.2
bar,bar.n.3
L,l.n.4
Z,z.n.2
T,t.n.4
shape,shape.n.1
square,square.n.1
board,board.n.9
object,object.n.1
mushroom,mushroom.n.1
coin,coin.n.1
enemy,enemy.n.2
map,map.n.1
jump,jump.n.1
item,item.n.1
door,door.n.2
event,event.n.2
character,character.n.1
move,move.n.5
treasure,treasure.n.1
info,info.n.1
panel,panel.n.7
team,team.n.1
game,game.n.1
tournament,tournament.n.1
baseball,baseball.n.1
catcher,catcher.n.2
pitcher,pitcher.n.1
guest,guest.n.3
hotel,hotel.n.1
room,room.n.1
wheel,wheel.n.1
car,car.n.1
airplane,airplane.n.1
vehicle,vehicle.n.1
receptionist,receptionist.n.1
pharmacist,pharmacist.n.1
department,department.n.1
accountant,accountant.n.1
prescription,prescription.n.2
medical,medical.n.1
record,record.n.1
patient,patient.n.1
nurse,nurse.n.1
cart,cart.n.2
controller,controller.n.1
user,user.n.1
printer,printer.n.2
camera,camera.n.1
customer,customer.n.1
delivery,delivery.n.1
center,center.n.1
company,company.n.1
employee,employee.n.1
file,file.n.1
directory,directory.n.2
triangle,triangle.n.1
circle,circle.n.1
rectangle,rectangle.n.1
director,director.n.1
chief,chief.n.1
normal,normal.n.1
bargain,bargain.n.2
new,newness.n.1
detail,detail.n.1
catalog,catalog.n.1
manager,manager.n.2
resource,resource.n.1
create,creation.n.1
update,update.n.1
delete,deletion.n.3
corporate,corporation.n.1
personel,individual.n.1
line,line.n.22
female,female.n.2
male,male.n.2
engineer,engineer.n.1
salesman,salesman.n.1
summary,summary.n.1
entry,entry.n.4
marketer,marketer.n.1
selling,selling.n.1
gui,gui.n.1
shopping,shopping.n.1
basket,basket.n.1
item,item.n.3
shelf,shelf.n.1
shopping,shopping.n.2
person,person.n.1
basket,basket.n.1
piece,piece.n.13
square,square.n.7
dice,dice.n.1
goal,goal.n.1
start,start.n.1
turn,turn.n.3
field,field.n.1
player,player.n.1
gameboard,gameboard.n.1
screen,screen.n.3
hotel,hotel.n.1
room,room.n.1
reservation,reservation.n.1
account,account.n.3
booking,booking.n.2
cancellation,cancellation.n.1
system,system.n.1
function,function.n.2
database,database.n.1
data,data.n.1
model,model.n.9
controller,controller.n.3
view,view.n.10
hand,hand.n.6
record,record.n.1
driver,driver.n.1
pedal,pedal.n.2
accelerator,accelerator.n.1
brake,brake.n.1
pedal,pedal.n.1
speedometer,speedometer.n.1
automobile,automobile.n.1
engine,engine.n.1
hobby,hobby.n.1
score,score.n.1
merchant,merchant.n.1
interface,interface.n.2
commodity,commodity.n.1
administrator,administrator.n.1
system,system.n.1
order,order.n.7
passenger,passenger.n.1
flight,flight.n.2
schedule,schedule.n.2
airport,airport.n.1
doctor,doctor.n.1
department,department.n.1
patient,patient.n.1
room,room.n.1
bill,bill.n.2
receptionist,receptionist.n.1
librarian,librarian.n.1
book,book.n.1
reference,reference.n.2
general,general.n.3
user,user.n.1
student,student.n.1
faculty,faculty.n.2
publisher,publisher.n.1
product,product.n.1
web,web.n.5
payment,payment.n.1
ticket,ticket.n.1
reservation,reservation.n.4
function,function.n.7
agent,agent.n.4
refund,refund.n.1
booking,booking.n.2
counter,counter.n.1
person,person.n.1
address,address.n.2
professor,professor.n.1
seminar,seminar.n.2
enrollment,enrollment.n.2
course,course.n.1
seller,seller.n.1
credit,credit.n.1
card,card.n.1
company,company.n.1
cart,cart.n.2
team,team.n.1
member,member.n.1
leader,leader.n.1
task,task.n.1
project,project.n.1
client,client.n.2
corporation,corporation.n.1
individual,individual.n.1
inventory,inventory.n.2
information,information.n.4
employee,employee.n.1
surgeon,surgeon.n.1
therapist,therapist.n.1
action,action.n.1
category,category.n.1
college,college.n.1
atm,atm.n.3
body,body.n.1
arm,arm.n.1
oxygen,oxygen.n.1
air,air.n.1
leg,leg.n.1
saddle,saddle.n.5
frame,frame.n.1
bike,bike.n.2
rider,rider.n.3
tyre,tyre.n.2
handle,handle.n.1
road,road.n.1
intersection,intersection.n.2
signal,signal.n.2
train,train.n.1
school,school.n.1
devise,devise.n.1
mouse,mouse.n.4
keyboard,keyboard.n.1
computer,computer.n.1
sport,sport.n.1
teacher,teacher.n.1
class,class.n.2
headset,headset.n.1
microphone,microphone.n.1
speaker,speaker.n.2
hand,hand.n.1
worker,worker.n.1
assistant,assistant.n.1
bank,bank.n.2
bike,bike
vip,vip.n.1
beginner,beginner.n.1
soccer,soccer.n.1
tennis,tennis.n.1
