class_a,class_b,relation,type,title,source
racket,ball,k,program,brockbreak,swing_game
block,ball,k,program,brockbreak,swing_game
player,beam,k,program,invador,swing_game
alien,shot,k,program,invador,swing_game
bar_block,block,h1,program,tetris,swing_game
L_shape_block,block,h1,program,tetris,swing_game
Z_shape_block,block,h1,program,tetris,swing_game
T_shape_block,block,h1,program,tetris,swing_game
square_shape_block,block,h1,program,tetris,swing_game
block,board,s1,program,tetris,swing_game
mushroom,object,h1,program,mariolike,swing_game
coin,object,h1,program,mariolike,swing_game
enemy,object,h1,program,mariolike,swing_game
object,map,s1,program,mariolike,swing_game
jump_item,object,h1,program,mariolike,swing_game
map,player,k,program,mariolike,swing_game
door_event,event,k,program,rpg,swing_game
event,map,s1,program,rpg,swing_game
character,map,s1,program,rpg,swing_game
move_event,event,k,program,rpg,swing_game
treasure_event,event,k,program,rpg,swing_game
student,college,s1,sample,hanka_sample,web
account,atm,k,analyse,atm_web,web
atm,bank,s1,analyse,atm_web,web
account,bank,s1,analyse,atm_web,web
customer,account,k,analyse,atm_web,web
player,team,s1,program,baseball,uml_workbook
game,team,k,program,baseball,uml_workbook
game,tournament,s1,program,baseball,uml_workbook
baseball_player,ball,k,program,baseball,uml_workbook
catcher,player,h1,program,baseball,uml_workbook
pitcher,player,h1,program,baseball,uml_workbook
guest,hotel,k,sample,hotel_sample,uml_workbook
room,hotel,s1,sample,hotel_sample,uml_workbook
wheel,car,s1,sample,car_sample,uml_workbook
airplane,vehicle,h1,sample,vehicle_sample,uml_workbook
car,vehicle,h1,sample,vehicle_sample,uml_workbook
receptionist,department,s1,analyse,medical_system,software_kogaku_ensyu
pharmacist,department,s1,analyse,medical_system,software_kogaku_ensyu
accountant,department,s1,analyse,medical_system,software_kogaku_ensyu
pharmacist,prescription,k,analyse,medical_system,software_kogaku_ensyu
prescription,medical_record,s1,analyse,medical_system,software_kogaku_ensyu
patient,medical_record,s1,analyse,medical_system,software_kogaku_ensyu
doctor,medical_record,k,analyse,medical_system,software_kogaku_ensyu
nurse,department,s1,analyse,medical_system,software_kogaku_ensyu
accountant,prescription,k,analyse,medical_system,software_kogaku_ensyu
order,cart,k,analyse,shopping_system,software_kogaku
item,cart,s1,analyse,shopping_system,software_kogaku
item_controller,system,s1,analyse,shopping_system,software_kogaku
user_controller,system,s1,analyse,shopping_system,software_kogaku
item,item_controller,s1,analyse,shopping_system,software_kogaku
user,user_controller,s1,analyse,shopping_system,software_kogaku
order_information,order,s1,analyse,shopping_system,software_kogaku
user,order,k,analyse,shopping_system,software_kogaku
printer,item,h1,analyse,shopping_system,software_kogaku
camera,item,h1,analyse,shopping_system,software_kogaku
customer,order,k,analyse,delivery_system,easy_uml
order_item,item,h1,analyse,delivery_system,easy_uml
order_item,order,s1,analyse,delivery_system,easy_uml
order,delivery,k,analyse,delivery_system,easy_uml
delivery,delivery_center,k,analyse,delivery_system,easy_uml
item,delivery_center,k,analyse,delivery_system,easy_uml
department,company,s1,sample,company_sample,easy_uml
employee,department,s1,sample,company_sample,easy_uml
file,directory,s1,sample,company_sample,easy_uml
triangle,shape,h1,sample,shape_sample,easy_uml
square,shape,h1,sample,shape_sample,easy_uml
circle,shape,h1,sample,shape_sample,easy_uml
rectangle,shape,h1,sample,shape_sample,easy_uml
director,employee,h1,sample,employee_sample,easy_uml
chief,employee,h1,sample,employee_sample,easy_uml
normal_item,item,h1,sample,item_sample,easy_uml
bargain_item,item,h1,sample,item_sample,easy_uml
new_item,item,h1,sample,item_sample,easy_uml
order_detail,order,h1,sample,samples,object_brain
item,catalog,s1,sample,samples,object_brain
item,item_manager,s1,sample,samples,object_brain
book,resource,h1,sample,samples,object_brain
category,resource,h1,sample,samples,object_brain
create,action,h1,sample,samples,object_brain
update,action,h1,sample,samples,object_brain
delete,action,h1,sample,samples,object_brain
corporate_customer,customer,h1,sample,ordering_system,uml_essence
personel_customer,customer,h1,sample,ordering_system,uml_essence
employee,corporate_customer,k,sample,ordering_system,uml_essence
order_line,product,k,sample,ordering_system,uml_essence
order_line,order,s1,sample,ordering_system,uml_essence
female,person,h1,sample,person_sample,uml_essence
male,person,h1,sample,person_sample,uml_essence
doctor,person,h1,sample,person_sample,uml_essence
therapist,person,h1,sample,person_sample,uml_essence
nurse,person,h1,sample,person_sample,uml_essence
surgeon,doctor,h1,sample,person_sample,uml_essence
manager,person,h1,sample,person_sample,uml_essence
engineer,person,h1,sample,person_sample,uml_essence
salesman,person,h1,sample,person_sample,uml_essence
summary_account,account,h1,sample,account_sample,uml_essence
detail_account,account,h1,sample,account_sample,uml_essence
account,entry,k,sample,account_sample,uml_essence
oxygen,air,s1,sample,my_sample,my_samplebook
arm,body,s1,sample,my_sample,my_samplebook
leg,body,s1,sample,my_sample,my_samplebook
hand,arm,s1,sample,my_sample,my_samplebook
hand,body,s1,sample,my_sample,my_samplebook
saddle,bike,s1,sample,my_sample,my_samplebook
frame,bike,s1,sample,my_sample,my_samplebook
bike,vehicle,h1,sample,my_sample,my_samplebook
rider,bike,k,sample,my_sample,my_samplebook
bike,tyre,s1,sample,my_sample,my_samplebook
handle,bike,s1,sample,my_sample,my_samplebook
brake,bike,s1,sample,my_sample,my_samplebook
train,vehicle,h1,sample,my_sample,my_samplebook
road,intersection,s1,sample,web,web
signal,intersection,s1,sample,web,web
car,road,k,sample,web,web
student,school,s1,sample,web,web
teacher,school,s1,sample,web,web
class,school,s1,sample,web,web
student,class,s1,sample,web,web
teacher,class,s1,sample,web,web
student,teacher,k,sample,web,web
speaker,devise,h1,sample,web,web
microphone,devise,h1,sample,web,web
speaker,headset,s1,sample,web,web
microphone,headset,s1,sample,web,web
headset,devise,h1,sample,web,web
mouse,devise,h1,sample,web,web
keyboard,devise,h1,sample,web,web
mouse,computer,k,sample,web,web
keyboard,computer,k,sample,web,web
vip_account,account,h1,sample,web,web
beginner_account,account,h1,sample,web,web
soccer,sport,h1,sample,web,web
baseball,sport,h1,sample,web,web
tennis,sport,h1,sample,web,web
player,sport,k,sample,web,web
worker,team,s1,analyse,web_analyse1,web
assistant,team,s1,analyse,web_analyse1,web
team,company,s1,analyse,web_analyse1,web
worker,company,s1,analyse,web_analyse1,web
worker,employee,h1,analyse,web_analyse1,web
