,class_a,class_b,relation,ans_yamasaki,ans_ueda,ans_daisuke,ans_hosomi,ans_kazuma,ans_sugi
0,racket,ball,k,k,k,k,k,k,h1
1,block,ball,k,k,k,k,h2,s2,k
2,player,beam,k,h2,s2,k,s2,s2,k
3,alien,shot,k,k,s2,k,s2,k,k
4,bar_block,block,h1,s1,h1,h1,h1,h2,h1
5,L_shape_block,block,h1,s1,h1,h1,h1,h2,h1
6,Z_shape_block,block,h1,s1,h1,h1,h1,h2,h1
7,T_shape_block,block,h1,s1,h1,h1,h1,h2,h1
8,square_shape_block,block,h1,s2,h1,h1,h1,h2,h1
9,block,board,s1,h1,s1,s1,s1,k,k
10,mushroom,object,h1,s1,h1,h1,h2,s1,h1
11,coin,object,h1,s1,h1,h1,h2,s1,h1
12,enemy,object,h1,s1,k,h1,h2,s1,h1
13,object,map,s1,k,k,h2,h1,s2,h2
14,jump_item,object,h1,s1,h1,h2,h2,s1,h1
15,map,player,k,k,k,k,k,k,k
16,door_event,event,k,s1,h1,h1,h1,h1,h1
17,event,map,s1,k,k,k,k,k,k
18,character,map,s1,k,k,k,k,k,k
19,move_event,event,k,s1,h1,h1,h1,h1,h1
20,treasure_event,event,k,s1,h1,h1,h1,h1,h1
21,student,college,s1,k,s1,k,s1,s1,s1
22,account,atm,k,h1,k,k,s1,s1,k
23,atm,bank,s1,h2,s1,s1,s2,k,s1
24,account,bank,s1,k,k,k,s1,s1,s1
25,customer,account,k,k,s1,k,h1,k,k
26,player,team,s1,s1,s1,s1,h1,s1,s1
27,game,team,k,h2,k,k,k,k,s2
28,game,tournament,s1,h2,s1,s1,h2,k,s2
29,baseball_player,ball,k,k,k,k,s2,k,k
30,catcher,player,h1,s1,h1,h1,s2,h1,h1
31,pitcher,player,h1,s1,h1,h1,s2,h1,h1
32,guest,hotel,k,k,k,k,s2,k,k
33,room,hotel,s1,s1,s1,s1,h1,k,s1
34,wheel,car,s1,h1,s1,s1,h1,s1,s1
35,airplane,vehicle,h1,k,h1,h1,k,k,h1
36,car,vehicle,h1,k,h1,h1,h1,k,h1
37,receptionist,department,s1,s1,s1,s1,h1,s1,h1
38,pharmacist,department,s1,s1,s1,s1,k,s1,h1
39,accountant,department,s1,s1,s1,s1,h1,s1,h1
40,pharmacist,prescription,k,k,k,k,k,k,k
41,prescription,medical_record,s1,k,s1,k,k,k,s1
42,patient,medical_record,s1,k,s1,k,k,k,s1
43,doctor,medical_record,k,k,s1,k,k,k,s1
44,nurse,department,s1,s1,k,s1,s1,k,h1
45,accountant,prescription,k,k,k,k,k,k,k
46,order,cart,k,k,k,k,k,k,s2
47,item,cart,s1,k,s1,k,h1,k,s1
48,item_controller,system,s1,s1,k,k,s1,s1,s1
49,user_controller,system,s1,s1,k,k,s1,s1,s1
50,item,item_controller,s1,k,k,k,h2,h2,k
51,user,user_controller,s1,k,s2,k,h2,h2,k
52,order_information,order,s1,h1,s1,k,h1,h1,s1
53,user,order,k,k,k,k,k,k,k
