class_a,class_b,answer
racket,ball,k
block,ball,k
player,beam,k
alien,shot,k
bar_block,block,h1
L_shape_block,block,h1
Z_shape_block,block,h1
T_shape_block,block,h1
square_shape_block,block,h1
block,board,s1
mushroom,object,h1
coin,object,h1
enemy,object,h1
object,map,h2
jump_item,object,h2
map,player,k
door_event,event,h1
event,map,k
character,map,k
move_event,event,h1
treasure_event,event,h1
student,college,k
account,atm,k
atm,bank,s1
account,bank,k
customer,account,k
player,team,s1
game,team,k
game,tournament,s1
baseball_player,ball,k
catcher,player,h1
pitcher,player,h1
guest,hotel,k
room,hotel,s1
wheel,car,s1
airplane,vehicle,h1
car,vehicle,h1
receptionist,department,s1
pharmacist,department,s1
accountant,department,s1
pharmacist,prescription,k
prescription,medical_record,k
patient,medical_record,k
doctor,medical_record,k
nurse,department,s1
accountant,prescription,k
order,cart,k
item,cart,k
item_controller,system,k
user_controller,system,k
item,item_controller,k
user,user_controller,k
order_information,order,k
user,order,k
printer,item,h1
camera,item,h1
customer,order,k
order_item,item,h1
order_item,order,k
order,delivery,k
delivery,delivery_center,k
item,delivery_center,s1
department,company,s1
employee,department,s1
file,directory,s2
triangle,shape,h1
square,shape,h1
circle,shape,h1
rectangle,shape,h1
director,employee,h1
chief,employee,h1
normal_item,item,h1
bargain_item,item,h1
new_item,item,h1
order,customer,k
order_detail,order,k
item,catalog,s1
item,item_manager,k
book,resource,k
category,resource,k
create,action,h1
update,action,h1
delete,action,h1
corporate_customer,customer,h1
personel_customer,customer,h1
employee,corporate_customer,h1
order_line,product,k
order_line,order,k
female,person,h1
male,person,h1
doctor,person,h1
therapist,person,h1
nurse,person,h1
surgeon,doctor,k
manager,person,h1
engineer,person,h1
salesman,person,h1
summary_account,account,k
detail_account,account,k
account,entry,k
oxygen,air,s1
arm,body,s1
leg,body,s1
hand,arm,s1
hand,body,s1
saddle,bike,s1
frame,bike,s1
bike,vehicle,h1
rider,bike,k
bike,tyre,s2
handle,bike,s1
brake,bike,s1
train,vehicle,h1
road,intersection,s1
signal,intersection,s1
car,road,k
student,school,k
teacher,school,k
class,school,k
student,class,s1
teacher,class,s1
student,teacher,k
speaker,devise,h1
microphone,devise,h1
speaker,headset,s1
microphone,headset,s1
headset,devise,h1
mouse,devise,h1
keyboard,devise,h1
mouse,computer,k
keyboard,computer,k
vip_account,account,h1
beginner_account,account,h1
soccer,sport,h1
baseball,sport,h1
tennis,sport,h1
player,sport,k
worker,team,s1
assistant,team,s1
team,company,s1
worker,company,s1
worker,employee,h1
team,employee,s2
engineer,employee,h1
engineer,team,s1
customer_hobby,customer,h1
customer_score,customer,h1
customer,customer_system,k
customer_system,administrator,k
merchant_interface,administrator,k
merchant,merchant_interface,k
commodity,merchant,k
customer,merchant,k
order,passenger,k
order_flight,order,k
schedule_flight,order_flight,k
schedule,schedule_flight,k
flight,airport,k
schedule_flight,flight,k
doctor,department,k
patient,doctor,k
patient,room,k
patient,receptionist,k
patient,bill,k
receptionist,bill,k
librarian,book,k
reference_book,book,h1
general_book,book,h1
book,user,k
user,librarian,h2
student,user,h1
faculty,user,k
librarian,publisher,k
administrator,account,h1
web_user,account,h1
product,order,k
administrator,order,k
payment,order,k
web_user,payment,k
account,order,k
ticket,customer,k
refund,customer,k
booking_counter,customer,k
agent,customer,k
agent,ticket,k
agent,reservation_function,k
booking_counter,ticket,k
address,person,k
student,person,h1
professor,person,h1
student,seminar,k
student,seminar_enrollment,k
seminar_enrollment,seminar,k
professor,seminar,k
seminar,course,s1
administrator,customer,k
cart,customer,k
cart,order,k
product,cart,k
seller,administrator,k
company,seller,k
company,order,k
order,credit_card,k
seller,product,k
administrator,user,h1
team_member,user,h1
team_leader,team_member,h1
task_system,team_member,k
task_system,project,k
task_system,task,k
order,client,k
corporation_client,client,h1
individual_client,client,h1
corporation_client,employee,h2
product,employee,k
product,inventory,k
order_information,product,k
customer,shopping_interface,k
shopping_interface,shopping_basket,k
shopping_interface,item_shelf,k
item,item_shelf,s1
item,shopping_basket,k
selling_interface,item_shelf,k
selling_interface,marketer,k
customer,person,h1
marketer,person,h1
shopping,customer,k
item_shelf,shopping,k
shopping_basket,shopping,k
square,field,s1
turn,field,k
turn,dice,k
start_square,square,h1
goal_square,square,h1
player,gameboard,k
player,dice,k
square,gameboard,s1
interface,account,k
interface,hotel,k
reservation_interface,interface,h1
cancellation_interface,interface,h1
account,booking,k
booking_data,database,s1
account_data,database,s1
hotel_data,database,s1
database,system,s1
booking_function,system,k
cancellation_function,system,k
turn,record,k
gameboard,turn,k
hand_piece,turn,k
piece,record,k
driver,speedometer,k
driver,pedal,k
pedal,automobile_engine,k
speedometer,automobile_engine,k
accelerator,pedal,k
brake_pedal,pedal,h1
driver,automobile,s1
pedal,automobile,s1
automobile_engine,automobile,s1
speedometer,automobile,s1
