class_a,class_b,answer
ball,racket,k
block,ball,h2
player,beam,s2
shot,alien,s1
bar_block,block,h1
L_shape_block,block,h1
block,Z_shape_block,h2
T_shape_block,block,h1
block,square_shape_block,h2
board,block,s2
mushroom,object,h2
coin,object,h2
object,enemy,h1
object,map,h1
jump_item,object,h2
player,map,k
event,door_event,h2
event,map,k
map,character,k
move_event,event,h1
treasure_event,event,h1
college,student,s2
account,atm,s1
atm,bank,s2
bank,account,s2
customer,account,h1
player,team,h1
team,game,k
game,tournament,h2
baseball_player,ball,s2
player,catcher,s1
pitcher,player,s2
hotel,guest,s1
hotel,room,s2
wheel,car,h1
airplane,vehicle,k
vehicle,car,h2
receptionist,department,h1
pharmacist,department,k
department,accountant,h2
prescription,pharmacist,k
prescription,medical_record,k
medical_record,patient,k
doctor,medical_record,k
nurse,department,s1
prescription,accountant,k
order,cart,k
item,cart,h1
system,item_controller,s2
user_controller,system,s1
item,item_controller,h2
user_controller,user,h1
order_information,order,h1
user,order,k
item,printer,s2
camera,item,h2
order,customer,k
item,order_item,h2
order_item,order,h1
order,delivery,k
delivery_center,delivery,h1
item,delivery_center,s2
department,company,s1
department,employee,s2
directory,file,k
triangle,shape,h1
shape,square,h2
circle,shape,h1
rectangle,shape,h1
employee,director,k
chief,employee,k
normal_item,item,h1
item,bargain_item,h2
new_item,item,h1
order,customer,k
order,order_detail,h2
item,catalog,s1
item,item_manager,h1
resource,book,s1
category,resource,k
action,create,k
action,update,k
delete,action,k
corporate_customer,customer,h1
customer,personel_customer,h2
customer,order,k
employee,corporate_customer,h2
product,order_line,k
order,order_line,h1
female,person,h1
person,male,h2
doctor,person,h1
therapist,person,h1
person,nurse,h2
surgeon,doctor,k
manager,person,h2
person,engineer,h1
salesman,person,h2
summary_account,account,h1
account,detail_account,h2
account,entry,k
oxygen,air,h2
body,arm,h1
leg,body,h2
arm,hand,h1
body,hand,h1
saddle,bike,k
frame,bike,k
vehicle,bike,s2
rider,bike,k
bike,tyre,k
bike,handle,k
bike,brake,k
train,vehicle,s1
intersection,road,s2
signal,intersection,k
car,road,k
school,student,s2
teacher,school,s1
class,school,s1
class,student,s1
teacher,class,s1
student,teacher,k
devise,speaker,k
microphone,devise,k
speaker,headset,h1
headset,microphone,k
headset,devise,h2
devise,mouse,s2
devise,keyboard,s2
mouse,computer,k
keyboard,computer,k
account,vip_account,h2
beginner_account,account,h1
soccer,sport,s1
sport,baseball,s2
sport,tennis,s2
player,sport,k
team,worker,h2
assistant,team,h1
team,company,k
company,worker,k
worker,employee,h2
team,employee,h1
employee,engineer,s2
engineer,team,k
customer_hobby,customer,h1
customer,customer_score,h2
customer,customer_system,h2
customer_system,administrator,k
administrator,merchant_interface,k
merchant,merchant_interface,k
merchant,commodity,s2
merchant,customer,k
customer,order,k
order,passenger,h2
order,order_flight,h2
schedule_flight,order_flight,k
schedule,schedule_flight,k
airport,flight,k
flight,schedule_flight,h2
doctor,department,s1
doctor,patient,h1
patient,room,k
patient,receptionist,k
bill,patient,s2
receptionist,bill,s1
librarian,book,k
book,reference_book,h2
general_book,book,h1
book,user,k
librarian,user,k
student,user,s1
faculty,user,s1
publisher,librarian,k
administrator,account,k
account,web_user,h1
order,customer,k
product,order,h1
administrator,order,s2
order,payment,h2
web_user,payment,h2
account,order,h2
customer,ticket,k
customer,refund,k
booking_counter,customer,k
customer,agent,k
agent,ticket,h1
agent,reservation_function,s2
ticket,booking_counter,s1
address,person,k
student,person,s2
person,professor,s1
student,seminar,k
student,seminar_enrollment,h1
seminar,seminar_enrollment,h1
professor,seminar,s1
seminar,course,s1
customer,administrator,k
cart,customer,k
order,cart,k
order,customer,k
product,cart,s2
seller,administrator,k
seller,company,s1
company,order,s2
order,credit_card,k
product,seller,s2
user,administrator,s1
team_member,user,s1
team_member,team_leader,h2
task_system,team_member,k
task_system,project,s2
task,task_system,h2
order,client,k
corporation_client,client,h2
client,individual_client,h2
corporation_client,employee,k
product,employee,k
inventory,product,s1
order_information,product,s1
order_information,order,h1
shopping_interface,customer,k
shopping_interface,shopping_basket,k
item_shelf,shopping_interface,k
item_shelf,item,s1
item,shopping_basket,h2
selling_interface,item_shelf,k
marketer,selling_interface,k
customer,person,s1
marketer,person,s1
customer,shopping,h2
shopping,item_shelf,h1
shopping_basket,shopping,h2
item_shelf,item,s1
item,shopping_basket,h2
square,field,h2
field,turn,k
turn,dice,h1
start_square,square,h1
square,goal_square,h2
player,gameboard,k
player,dice,k
gameboard,square,h1
goal_square,square,h1
start_square,square,h1
account,interface,k
interface,hotel,k
interface,reservation_interface,s1
interface,cancellation_interface,s1
room,hotel,h1
account,booking,h2
database,booking_data,s2
account_data,database,h1
hotel_data,database,h1
system,database,k
system,booking_function,k
cancellation_function,system,h1
record,turn,k
gameboard,turn,k
hand_piece,turn,k
record,piece,k
driver,speedometer,k
driver,pedal,h2
automobile_engine,pedal,k
speedometer,automobile_engine,k
accelerator,pedal,h2
pedal,brake_pedal,h2
driver,automobile,h2
pedal,automobile,k
automobile,automobile_engine,s2
accelerator,pedal,h2
pedal,brake_pedal,h2
automobile,speedometer,k
