class_a,class_b,answer
racket,ball,k
block,ball,s2
player,beam,s2
alien,shot,k
bar_block,block,h2
L_shape_block,block,h2
Z_shape_block,block,h2
T_shape_block,block,h2
square_shape_block,block,h2
block,board,k
mushroom,object,s1
coin,object,s1
enemy,object,s1
object,map,s2
jump_item,object,s1
map,player,k
door_event,event,h1
event,map,k
character,map,k
move_event,event,h1
treasure_event,event,h1
student,college,s1
account,atm,s1
atm,bank,k
account,bank,s1
customer,account,k
player,team,s1
game,team,k
game,tournament,k
baseball_player,ball,k
catcher,player,h1
pitcher,player,h1
guest,hotel,k
room,hotel,k
wheel,car,s1
airplane,vehicle,k
car,vehicle,k
receptionist,department,s1
pharmacist,department,s1
accountant,department,s1
pharmacist,prescription,k
prescription,medical_record,k
patient,medical_record,k
doctor,medical_record,k
nurse,department,k
accountant,prescription,k
order,cart,k
item,cart,k
item_controller,system,s1
user_controller,system,s1
item,item_controller,h2
user,user_controller,h2
order_information,order,h1
user,order,k
printer,item,h1
camera,item,h1
customer,order,s1
order_item,item,h1
order_item,order,h1
order,delivery,k
delivery,delivery_center,h2
item,delivery_center,h1
department,company,k
employee,department,s1
file,directory,k
triangle,shape,h1
square,shape,h1
circle,shape,h1
rectangle,shape,h1
director,employee,k
chief,employee,k
normal_item,item,h1
bargain_item,item,h1
new_item,item,h1
order,customer,k
order_detail,order,h1
item,catalog,k
item,item_manager,h2
book,resource,k
category,resource,k
create,action,s1
update,action,s1
delete,action,s1
corporate_customer,customer,h1
personel_customer,customer,h1
employee,corporate_customer,k
order_line,product,k
order_line,order,h1
female,person,s1
male,person,s1
doctor,person,s1
therapist,person,s1
nurse,person,s1
surgeon,doctor,k
manager,person,s1
engineer,person,s1
salesman,person,s1
summary_account,account,h1
detail_account,account,h1
account,entry,k
oxygen,air,s1
arm,body,s1
leg,body,s1
hand,arm,k
hand,body,k
saddle,bike,s1
frame,bike,s1
bike,vehicle,k
rider,bike,k
bike,tyre,s2
handle,bike,s1
brake,bike,s1
train,vehicle,k
road,intersection,h2
signal,intersection,h1
car,road,k
student,school,s1
teacher,school,s1
class,school,s1
student,class,s1
teacher,class,s1
student,teacher,k
speaker,devise,s1
microphone,devise,s1
speaker,headset,k
microphone,headset,k
headset,devise,h1
mouse,devise,h1
keyboard,devise,h1
mouse,computer,s1
keyboard,computer,s1
vip_account,account,h2
beginner_account,account,h2
soccer,sport,s1
baseball,sport,s1
tennis,sport,s1
player,sport,k
worker,team,s1
assistant,team,s1
team,company,k
worker,company,s1
worker,employee,k
team,employee,s2
engineer,employee,h2
engineer,team,s1
customer_hobby,customer,h1
customer_score,customer,h1
customer,customer_system,h2
customer_system,administrator,k
merchant_interface,administrator,k
merchant,merchant_interface,h2
commodity,merchant,k
customer,merchant,k
order,passenger,k
order_flight,order,h1
schedule_flight,order_flight,k
schedule,schedule_flight,h2
flight,airport,k
schedule_flight,flight,h1
doctor,department,s1
patient,doctor,k
patient,room,s1
patient,receptionist,k
patient,bill,k
receptionist,bill,k
librarian,book,k
reference_book,book,h1
general_book,book,h1
book,user,k
user,librarian,h2
student,user,s1
faculty,user,k
librarian,publisher,k
administrator,account,s2
web_user,account,k
product,order,s1
administrator,order,k
payment,order,k
web_user,payment,k
account,order,k
ticket,customer,s1
refund,customer,s1
booking_counter,customer,h1
agent,customer,k
agent,ticket,s1
agent,reservation_function,k
booking_counter,ticket,k
address,person,s1
student,person,h1
professor,person,s1
student,seminar,s1
student,seminar_enrollment,k
seminar_enrollment,seminar,h1
professor,seminar,k
seminar,course,k
administrator,customer,k
cart,customer,k
cart,order,k
product,cart,s1
seller,administrator,h1
company,seller,k
company,order,k
order,credit_card,k
seller,product,k
administrator,user,h2
team_member,user,s2
team_leader,team_member,h2
task_system,team_member,k
task_system,project,s1
task_system,task,h1
order,client,k
corporation_client,client,k
individual_client,client,h1
corporation_client,employee,k
product,employee,k
product,inventory,h2
order_information,product,s2
customer,shopping_interface,k
shopping_interface,shopping_basket,h2
shopping_interface,item_shelf,s2
item,item_shelf,h1
item,shopping_basket,s1
selling_interface,item_shelf,k
selling_interface,marketer,k
customer,person,s1
marketer,person,s1
shopping,customer,k
item_shelf,shopping,k
shopping_basket,shopping,s1
square,field,s1
turn,field,s1
turn,dice,k
start_square,square,h1
goal_square,square,h1
player,gameboard,k
player,dice,k
square,gameboard,k
interface,account,s2
interface,hotel,s2
reservation_interface,interface,h1
cancellation_interface,interface,h1
account,booking,k
booking_data,database,h1
account_data,database,h1
hotel_data,database,h1
database,system,s1
booking_function,system,s1
cancellation_function,system,s1
turn,record,k
gameboard,turn,k
hand_piece,turn,k
piece,record,k
driver,speedometer,k
driver,pedal,k
pedal,automobile_engine,k
speedometer,automobile_engine,s1
accelerator,pedal,k
brake_pedal,pedal,h1
driver,automobile,k
pedal,automobile,s1
automobile_engine,automobile,s1
speedometer,automobile,s1
