class_a,class_b,answer
racket,ball,h1
block,ball,k
player,beam,k
alien,shot,k
bar_block,block,h1
L_shape_block,block,h1
Z_shape_block,block,h1
T_shape_block,block,h1
square_shape_block,block,h1
block,board,k
mushroom,object,h1
coin,object,h1
enemy,object,h1
object,map,h2
jump_item,object,h1
map,player,k
door_event,event,h1
event,map,k
character,map,k
move_event,event,h1
treasure_event,event,h1
student,college,s1
account,atm,k
atm,bank,s1
account,bank,s1
customer,account,k
player,team,s1
game,team,s2
game,tournament,s2
baseball_player,ball,k
catcher,player,h1
pitcher,player,h1
guest,hotel,k
room,hotel,s1
wheel,car,s1
airplane,vehicle,h1
car,vehicle,h1
receptionist,department,h1
pharmacist,department,h1
accountant,department,h1
pharmacist,prescription,k
prescription,medical_record,s1
patient,medical_record,s1
doctor,medical_record,s1
nurse,department,h1
accountant,prescription,k
order,cart,s2
item,cart,s1
item_controller,system,s1
user_controller,system,s1
item,item_controller,k
user,user_controller,k
order_information,order,s1
user,order,k
printer,item,h1
camera,item,h1
customer,order,k
order_item,item,s2
order_item,order,s2
order,delivery,k
delivery,delivery_center,s1
item,delivery_center,k
department,company,s1
employee,department,s1
file,directory,s1
triangle,shape,h1
square,shape,h1
circle,shape,h1
rectangle,shape,h1
director,employee,h1
chief,employee,h1
normal_item,item,h1
bargain_item,item,h1
new_item,item,h1
order,customer,k
order_detail,order,s1
item,catalog,s1
item,item_manager,k
book,resource,h1
category,resource,h1
create,action,h1
update,action,h1
delete,action,h1
corporate_customer,customer,h1
personel_customer,customer,h1
employee,corporate_customer,k
order_line,product,s2
order_line,order,s2
female,person,h1
male,person,h1
doctor,person,h1
therapist,person,h1
nurse,person,h1
surgeon,doctor,h1
manager,person,h1
engineer,person,h1
salesman,person,h1
summary_account,account,h1
detail_account,account,h1
account,entry,k
oxygen,air,s1
arm,body,s1
leg,body,s1
hand,arm,k
hand,body,s1
saddle,bike,s1
frame,bike,s1
bike,vehicle,h1
rider,bike,k
bike,tyre,s2
handle,bike,s1
brake,bike,s1
train,vehicle,h1
road,intersection,s1
signal,intersection,s1
car,road,k
student,school,s1
teacher,school,s1
class,school,s1
student,class,s1
teacher,class,s1
student,teacher,k
speaker,devise,h1
microphone,devise,h1
speaker,headset,s1
microphone,headset,s1
headset,devise,h1
mouse,devise,h1
keyboard,devise,h1
mouse,computer,k
keyboard,computer,k
vip_account,account,h1
beginner_account,account,h1
soccer,sport,h1
baseball,sport,h1
tennis,sport,h1
player,sport,s1
worker,team,s1
assistant,team,s1
team,company,s1
worker,company,s1
worker,employee,h1
team,employee,s2
engineer,employee,h1
engineer,team,s1
customer_hobby,customer,s1
customer_score,customer,s1
customer,customer_system,s1
customer_system,administrator,k
merchant_interface,administrator,k
merchant,merchant_interface,k
commodity,merchant,k
customer,merchant,k
order,passenger,k
order_flight,order,h1
schedule_flight,order_flight,s1
schedule,schedule_flight,h2
flight,airport,s1
schedule_flight,flight,h1
doctor,department,h1
patient,doctor,k
patient,room,s1
patient,receptionist,k
patient,bill,k
receptionist,bill,k
librarian,book,k
reference_book,book,h1
general_book,book,h1
book,user,k
user,librarian,h2
student,user,h1
faculty,user,s1
librarian,publisher,k
administrator,account,k
web_user,account,s2
product,order,s1
administrator,order,k
payment,order,s1
web_user,payment,k
account,order,k
ticket,customer,k
refund,customer,k
booking_counter,customer,k
agent,customer,k
agent,ticket,k
agent,reservation_function,k
booking_counter,ticket,s2
address,person,s1
student,person,h1
professor,person,h1
student,seminar,s1
student,seminar_enrollment,k
seminar_enrollment,seminar,k
professor,seminar,s1
seminar,course,s2
administrator,customer,k
cart,customer,s1
cart,order,s1
product,cart,s1
seller,administrator,k
company,seller,s2
company,order,s2
order,credit_card,s2
seller,product,s2
administrator,user,h1
team_member,user,h1
team_leader,team_member,h1
task_system,team_member,s2
task_system,project,s2
task_system,task,s2
order,client,s1
corporation_client,client,h1
individual_client,client,h1
corporation_client,employee,k
product,employee,k
product,inventory,s1
order_information,product,s2
customer,shopping_interface,k
shopping_interface,shopping_basket,h2
shopping_interface,item_shelf,h2
item,item_shelf,s1
item,shopping_basket,s1
selling_interface,item_shelf,h2
selling_interface,marketer,k
customer,person,h1
marketer,person,h1
shopping,customer,s2
item_shelf,shopping,s1
shopping_basket,shopping,s1
square,field,s1
turn,field,s1
turn,dice,s2
start_square,square,h1
goal_square,square,h1
player,gameboard,k
player,dice,k
square,gameboard,s1
interface,account,k
interface,hotel,k
reservation_interface,interface,h1
cancellation_interface,interface,h1
account,booking,k
booking_data,database,h1
account_data,database,h1
hotel_data,database,h1
database,system,s1
booking_function,system,s1
cancellation_function,system,s1
turn,record,k
gameboard,turn,s1
hand_piece,turn,k
piece,record,k
driver,speedometer,k
driver,pedal,k
pedal,automobile_engine,k
speedometer,automobile_engine,k
accelerator,pedal,k
brake_pedal,pedal,h1
driver,automobile,k
pedal,automobile,s1
automobile_engine,automobile,s1
speedometer,automobile,s1
