class_a,class_b,answer
ball,racket,k
block,ball,k
player,beam,s2
shot,alien,s1
bar_block,block,h1
L_shape_block,block,h1
block,Z_shape_block,h2
T_shape_block,block,h1
block,square_shape_block,h2
board,block,s2
mushroom,object,h1
coin,object,h1
object,enemy,k
object,map,k
jump_item,object,h1
player,map,k
event,door_event,h2
event,map,k
map,character,k
move_event,event,h1
treasure_event,event,h1
college,student,s2
account,atm,k
atm,bank,s1
bank,account,k
customer,account,s1
player,team,s1
team,game,k
game,tournament,s1
baseball_player,ball,k
player,catcher,h2
pitcher,player,h1
hotel,guest,k
hotel,room,s2
wheel,car,s1
airplane,vehicle,h1
vehicle,car,h2
receptionist,department,s1
pharmacist,department,s1
department,accountant,s2
prescription,pharmacist,k
prescription,medical_record,s1
medical_record,patient,s2
doctor,medical_record,s1
nurse,department,k
prescription,accountant,k
order,cart,k
item,cart,s1
system,item_controller,k
user_controller,system,k
item,item_controller,k
user_controller,user,s1
order_information,order,s1
user,order,k
item,printer,h2
camera,item,h1
order,customer,k
item,order_item,s2
order_item,order,s1
order,delivery,s2
delivery_center,delivery,s1
item,delivery_center,k
department,company,k
department,employee,k
directory,file,s2
triangle,shape,h1
shape,square,h2
circle,shape,h1
rectangle,shape,h1
employee,director,k
chief,employee,k
normal_item,item,h1
item,bargain_item,h2
new_item,item,h1
order,customer,k
order,order_detail,s2
item,catalog,k
item,item_manager,k
resource,book,k
category,resource,k
action,create,s2
action,update,s2
delete,action,s1
corporate_customer,customer,h1
customer,personel_customer,h2
customer,order,k
employee,corporate_customer,h2
product,order_line,s2
order,order_line,s2
female,person,h1
person,male,h2
doctor,person,h1
therapist,person,h1
person,nurse,h2
surgeon,doctor,h1
manager,person,h1
person,engineer,h2
salesman,person,h1
summary_account,account,h1
account,detail_account,h2
account,entry,s2
oxygen,air,s1
body,arm,s2
leg,body,s1
arm,hand,s2
body,hand,s2
saddle,bike,s1
frame,bike,s1
vehicle,bike,h2
rider,bike,k
bike,tyre,s2
bike,handle,s2
bike,brake,s2
train,vehicle,h1
intersection,road,h1
signal,intersection,s1
car,road,k
school,student,k
teacher,school,k
class,school,s1
class,student,s2
teacher,class,s1
student,teacher,k
devise,speaker,k
microphone,devise,h1
speaker,headset,k
headset,microphone,k
headset,devise,h1
devise,mouse,h1
devise,keyboard,h2
mouse,computer,s1
keyboard,computer,s1
account,vip_account,h2
beginner_account,account,h1
soccer,sport,h1
sport,baseball,h2
sport,tennis,h2
player,sport,k
team,worker,s2
assistant,team,s1
team,company,k
company,worker,s2
worker,employee,k
team,employee,k
employee,engineer,k
engineer,team,s1
customer_hobby,customer,s1
customer,customer_score,s2
customer,customer_system,s1
customer_system,administrator,s2
administrator,merchant_interface,k
merchant,merchant_interface,s2
merchant,commodity,k
merchant,customer,k
customer,order,k
order,passenger,k
order,order_flight,h2
schedule_flight,order_flight,s1
schedule,schedule_flight,h2
airport,flight,k
flight,schedule_flight,k
doctor,department,s1
doctor,patient,s2
patient,room,k
patient,receptionist,k
bill,patient,k
receptionist,bill,k
librarian,book,k
book,reference_book,h2
general_book,book,h1
book,user,k
librarian,user,k
student,user,h1
faculty,user,k
publisher,librarian,k
administrator,account,k
account,web_user,h2
order,customer,k
product,order,s1
administrator,order,k
order,payment,s2
web_user,payment,k
account,order,k
customer,ticket,k
customer,refund,k
booking_counter,customer,s1
customer,agent,k
agent,ticket,k
agent,reservation_function,k
ticket,booking_counter,k
address,person,s1
student,person,h1
person,professor,h2
student,seminar,s1
student,seminar_enrollment,k
seminar,seminar_enrollment,s2
professor,seminar,k
seminar,course,s2
customer,administrator,k
cart,customer,s1
order,cart,k
order,customer,k
product,cart,s1
seller,administrator,k
seller,company,k
company,order,k
order,credit_card,k
product,seller,s2
user,administrator,h2
team_member,user,h1
team_member,team_leader,s2
task_system,team_member,s2
task_system,project,k
task,task_system,s1
order,client,s1
corporation_client,client,h1
client,individual_client,h2
corporation_client,employee,s1
product,employee,k
inventory,product,s1
order_information,product,k
order_information,order,s1
shopping_interface,customer,k
shopping_interface,shopping_basket,s2
item_shelf,shopping_interface,s1
item_shelf,item,s2
item,shopping_basket,s1
selling_interface,item_shelf,k
marketer,selling_interface,k
customer,person,h1
marketer,person,h1
customer,shopping,k
shopping,item_shelf,k
shopping_basket,shopping,s1
item_shelf,item,s2
item,shopping_basket,s1
square,field,s1
field,turn,k
turn,dice,k
start_square,square,h1
square,goal_square,h2
player,gameboard,s1
player,dice,k
gameboard,square,s2
goal_square,square,h1
start_square,square,h1
account,interface,k
interface,hotel,k
interface,reservation_interface,h2
interface,cancellation_interface,h2
room,hotel,s1
account,booking,k
database,booking_data,s2
account_data,database,s1
hotel_data,database,s1
system,database,s2
system,booking_function,s2
cancellation_function,system,s1
record,turn,s2
gameboard,turn,k
hand_piece,turn,k
record,piece,s2
driver,speedometer,k
driver,pedal,k
automobile_engine,pedal,s2
speedometer,automobile_engine,s1
accelerator,pedal,s2
pedal,brake_pedal,h2
driver,automobile,k
pedal,automobile,s1
automobile,automobile_engine,s2
accelerator,pedal,s2
pedal,brake_pedal,h2
automobile,speedometer,s2
