class_a,class_b,relation,ans_yamasaki,ans_ueda,ans_daisuke,ans_hosomi,ans_kazuma,ans_sugi
racket,ball,k,k,k,k,k,k,h1
block,ball,k,k,k,k,h2,s2,k
player,beam,k,h2,s2,k,s2,s2,k
alien,shot,k,k,s2,k,s2,k,k
bar_block,block,h1,s1,h1,h1,h1,h2,h1
L_shape_block,block,h1,s1,h1,h1,h1,h2,h1
Z_shape_block,block,h1,s1,h1,h1,h1,h2,h1
T_shape_block,block,h1,s1,h1,h1,h1,h2,h1
square_shape_block,block,h1,s1,h1,h1,h1,h2,h1
block,board,s1,h1,s1,s1,s1,k,k
mushroom,object,h1,s1,h1,h1,h2,s1,h1
coin,object,h1,s1,h1,h1,h2,s1,h1
enemy,object,h1,s1,k,h1,h1,s1,h1
object,map,s1,k,k,h2,h1,s2,h2
jump_item,object,h1,s1,h1,h2,h2,s1,h1
map,player,k,k,k,k,k,k,k
door_event,event,k,s1,h1,h1,h1,h1,h1
event,map,s1,k,k,k,k,k,k
character,map,s1,k,k,k,k,k,k
move_event,event,k,s1,h1,h1,h1,h1,h1
treasure_event,event,k,s1,h1,h1,h1,h1,h1
student,college,s1,k,s1,k,s1,s1,s1
account,atm,k,h1,k,k,s1,s1,k
atm,bank,s1,h2,s1,s1,s2,k,s1
account,bank,s1,k,k,k,s1,s1,s1
customer,account,k,k,s1,k,h1,k,k
player,team,s1,s1,s1,s1,h1,s1,s1
game,team,k,h1,k,k,k,k,s2
game,tournament,s1,h2,s1,s1,h2,k,s2
baseball_player,ball,k,k,k,k,s2,k,k
catcher,player,h1,s1,h1,h1,s1,h1,h1
pitcher,player,h1,s1,h1,h1,s2,h1,h1
guest,hotel,k,k,k,k,s1,k,k
room,hotel,s1,s1,s1,s1,h1,k,s1
wheel,car,s1,h1,s1,s1,h1,s1,s1
airplane,vehicle,h1,k,h1,h1,k,k,h1
car,vehicle,h1,k,h1,h1,h1,k,h1
receptionist,department,s1,s1,s1,s1,h1,s1,h1
pharmacist,department,s1,s1,s1,s1,k,s1,h1
accountant,department,s1,s1,s1,s1,h1,s1,h1
pharmacist,prescription,k,k,k,k,k,k,k
