class_a,class_b,answer
racket,ball,
block,ball,
player,beam,
alien,shot,
bar_block,block,
L_shape_block,block,
Z_shape_block,block,
T_shape_block,block,
square_shape_block,block,
block,board,
mushroom,object,
coin,object,
enemy,object,
object,map,
jump_item,object,
map,player,
door_event,event,
event,map,
character,map,
move_event,event,
treasure_event,event,
student,college,
account,atm,
atm,bank,
account,bank,
customer,account,
player,team,
game,team,
game,tournament,
baseball_player,ball,
catcher,player,
pitcher,player,
guest,hotel,
room,hotel,
wheel,car,
airplane,vehicle,
car,vehicle,
receptionist,department,
pharmacist,department,
accountant,department,
pharmacist,prescription,
prescription,medical_record,
patient,medical_record,
doctor,medical_record,
nurse,department,
accountant,prescription,
order,cart,
item,cart,
item_controller,system,
user_controller,system,
item,item_controller,
user,user_controller,
order_information,order,
user,order,
printer,item,
camera,item,
customer,order,
order_item,item,
order_item,order,
order,delivery,
delivery,delivery_center,
item,delivery_center,
department,company,
employee,department,
file,directory,
triangle,shape,
square,shape,
circle,shape,
rectangle,shape,
director,employee,
chief,employee,
normal_item,item,
bargain_item,item,
new_item,item,
order,customer,
order_detail,order,
item,catalog,
item,item_manager,
book,resource,
category,resource,
create,action,
update,action,
delete,action,
corporate_customer,customer,
personel_customer,customer,
employee,corporate_customer,
order_line,product,
order_line,order,
female,person,
male,person,
doctor,person,
therapist,person,
nurse,person,
surgeon,doctor,
manager,person,
engineer,person,
salesman,person,
summary_account,account,
detail_account,account,
account,entry,
oxygen,air,
arm,body,
leg,body,
hand,arm,
hand,body,
saddle,bike,
frame,bike,
bike,vehicle,
rider,bike,
bike,tyre,
handle,bike,
brake,bike,
train,vehicle,
road,intersection,
signal,intersection,
car,road,
student,school,
teacher,school,
class,school,
student,class,
teacher,class,
student,teacher,
speaker,devise,
microphone,devise,
speaker,headset,
microphone,headset,
headset,devise,
mouse,devise,
keyboard,devise,
mouse,computer,
keyboard,computer,
vip_account,account,
beginner_account,account,
soccer,sport,
baseball,sport,
tennis,sport,
player,sport,
worker,team,
assistant,team,
team,company,
worker,company,
worker,employee,
team,employee,
engineer,employee,
engineer,team,
customer_hobby,customer,
customer_score,customer,
customer,customer_system,
customer_system,administrator,
merchant_interface,administrator,
merchant,merchant_interface,
commodity,merchant,
customer,merchant,
order,passenger,
order_flight,order,
schedule_flight,order_flight,
schedule,schedule_flight,
flight,airport,
schedule_flight,flight,
doctor,department,
patient,doctor,
patient,room,
patient,receptionist,
patient,bill,
receptionist,bill,
librarian,book,
reference_book,book,
general_book,book,
book,user,
user,librarian,
student,user,
faculty,user,
librarian,publisher,
administrator,account,
web_user,account,
product,order,
administrator,order,
payment,order,
web_user,payment,
account,order,
ticket,customer,
refund,customer,
booking_counter,customer,
agent,customer,
agent,ticket,
agent,reservation_function,
booking_counter,ticket,
address,person,
student,person,
professor,person,
student,seminar,
student,seminar_enrollment,
seminar_enrollment,seminar,
professor,seminar,
seminar,course,
administrator,customer,
cart,customer,
cart,order,
product,cart,
seller,administrator,
company,seller,
company,order,
order,credit_card,
seller,product,
administrator,user,
team_member,user,
team_leader,team_member,
task_system,team_member,
task_system,project,
task_system,task,
order,client,
corporation_client,client,
individual_client,client,
corporation_client,employee,
product,employee,
product,inventory,
order_information,product,
customer,shopping_interface,
shopping_interface,shopping_basket,
shopping_interface,item_shelf,
item,item_shelf,
item,shopping_basket,
selling_interface,item_shelf,
selling_interface,marketer,
customer,person,
marketer,person,
shopping,customer,
item_shelf,shopping,
shopping_basket,shopping,
square,field,
turn,field,
turn,dice,
start_square,square,
goal_square,square,
player,gameboard,
player,dice,
square,gameboard,
interface,account,
interface,hotel,
reservation_interface,interface,
cancellation_interface,interface,
account,booking,
booking_data,database,
account_data,database,
hotel_data,database,
database,system,
booking_function,system,
cancellation_function,system,
turn,record,
gameboard,turn,
hand_piece,turn,
piece,record,
driver,speedometer,
driver,pedal,
pedal,automobile_engine,
speedometer,automobile_engine,
accelerator,pedal,
brake_pedal,pedal,
driver,automobile,
pedal,automobile,
automobile_engine,automobile,
speedometer,automobile,
